Algoritmo,Porcentaje de coincidencia promedio,Porcentaje de reduccion,Fitness,Tiempo de ejecucion
ES,68.53221288515405,57.14285714285714,65.68487394957982,0.1215128898620605
ILS-ES,68.46778711484595,28.57142857142857,58.493697478991606,2.1194963455200195
BMB-ES,67.4201680672269,71.42857142857143,68.42226890756304,1.95435118675232
ES_modf,68.82633053221288,57.14285714285714,65.90546218487395,0.1240274906158447
AGG BLX,67.40896358543418,71.42857142857143,68.41386554621849,10.225366115570068
AGG Arit.,69.92156862745098,57.14285714285714,66.72689075630251,9.958042621612549
AGE BLX,68.30252100840337,57.14285714285714,65.51260504201682,11.19648551940918
AGE Arit.,68.30252100840337,57.14285714285714,65.51260504201682,10.512173891067505
AM-All,67.98879551820728,71.42857142857143,68.84873949579833,10.604588508605955
AM-Rand,67.95798319327731,71.42857142857143,68.82563025210085,10.536680221557615
AM-Best,67.25210084033613,71.42857142857143,68.29621848739495,10.555947542190552
BMB,67.7422969187675,71.42857142857143,68.66386554621847,10.62659192085266
ILS,70.10084033613445,57.14285714285714,66.86134453781511,11.217334508895874
ES,66.80112044817926,71.42857142857143,67.9579831932773,0.1335151195526123
ILS-ES,62.2016806722689,57.14285714285714,60.93697478991596,2.085421800613404
BMB-ES,67.4201680672269,71.42857142857143,68.42226890756304,2.044097900390625
ES_modf,67.61904761904762,71.42857142857143,68.57142857142857,0.13651251792907715
