Algoritmo,Porcentaje de coincidencia promedio,Porcentaje de reduccion,Fitness,Tiempo de ejecucion
ES,95.0921420023933,60.0,86.31910650179498,2.157456874847412
ILS-ES,94.56082967690467,26.666666666666668,77.58728892434517,49.732770681381226
BMB-ES,95.61388113282808,60.0,86.71041084962107,50.91070604324341
ES_modf,94.9086557638612,40.0,81.18149182289591,2.2527339458465576
AGG BLX,95.26605504587155,90.0,93.94954128440368,54.19871759414673
AGG Arit.,91.20861587554845,90.0,90.90646190666132,51.06611466407776
AGE BLX,94.0199441563622,83.33333333333334,91.348291450605,51.28006148338318
AGE Arit.,94.0199441563622,83.33333333333334,91.348291450605,52.71341395378113
AM-All,95.80694056641404,90.0,94.35520542481052,49.9488513469696
AM-Rand,96.31910650179498,86.66666666666667,93.9059965430129,50.935354471206665
AM-Best,96.31910650179498,86.66666666666667,93.9059965430129,52.89676856994629
BMB,94.02951735141605,70.0,88.02213801356203,50.30742526054382
ILS,95.26605504587155,60.0,86.44954128440367,53.11335301399231
ES,94.89908256880734,63.33333333333333,87.00764525993884,2.1261563301086426
ILS-ES,94.04866374152373,33.33333333333333,78.86983113947612,45.19656491279602
BMB-ES,94.0390905464699,70.0,88.02931790985242,43.67068839073181
ES_modf,95.94256082967692,56.666666666666664,86.12358728892436,2.169102430343628
